代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
605177,东亚药业,2022-01-19,28.504,2022-01-24,26.237,17500,-40157.96,-8.0465%,3,信号
002161,远望谷,2022-01-20,5.267,2022-01-24,5.041,94900,-21856.23,-4.3708%,2,信号
605188,国光连锁,2022-01-20,8.729,2022-01-24,8.321,57200,-23855.27,-4.7752%,2,信号
605287,德才股份,2022-01-20,23.386,2022-01-24,21.713,21300,-36105.6,-7.2448%,2,信号
002856,ST美芝,2022-01-21,14.917,2022-01-26,14.103,33500,-27772.18,-5.5546%,3,信号
300166,东方国信,2022-01-21,12.046,2022-01-28,10.885,41500,-48676.61,-9.7322%,5,信号
600267,海正药业,2022-01-21,15.696,2022-01-26,13.821,31800,-60086.62,-12.0323%,3,信号
600790,轻纺城,2022-01-21,2.93,2022-01-25,2.788,170600,-24859.5,-4.9700%,2,信号
603636,南威软件,2022-01-21,9.77,2022-01-27,9.31,51100,-23969.99,-4.7989%,4,信号
605060,联德股份,2022-01-21,17.97,2022-01-26,17.262,27800,-20161.45,-4.0338%,3,信号
000419,通程控股,2022-01-24,4.262,2022-01-28,4.308,117300,4859.74,0.9716%,4,信号
002314,南山控股,2022-01-24,3.845,2022-01-28,3.861,130000,1598.22,0.3196%,4,信号
300047,天源迪科,2022-01-24,11.241,2022-01-27,10.16,44400,-48458.17,-9.7046%,3,信号
300300,海峡创新,2022-01-24,5.733,2022-01-26,5.427,87200,-27133.16,-5.4249%,2,信号
600410,华胜天成,2022-01-24,7.686,2022-01-26,7.378,65000,-20479.16,-4.0972%,2,信号
600883,博闻科技,2022-01-24,8.354,2022-02-16,9.175,59800,48585.72,9.7205%,12,信号
003005,竞业达,2022-01-25,17.287,2022-01-28,16.076,28900,-35470.77,-7.0965%,3,信号
300387,富邦科技,2022-01-25,7.094,2022-01-27,6.717,70400,-27020.23,-5.4080%,2,信号
000038,大通退,2022-01-26,8.494,2022-02-15,9.635,58800,66553.97,13.3185%,9,信号
000701,厦门信达,2022-01-26,5.993,2022-01-28,5.077,83400,-76817.26,-15.3614%,2,信号
603839,安正时尚,2022-01-26,7.911,2022-01-28,7.663,63200,-16152.28,-3.2290%,2,信号
000048,京基智农,2022-02-07,16.102,2022-02-22,18.405,31000,70850.27,14.1867%,11,信号
600012,皖通高速,2022-02-14,5.638,2022-02-18,5.072,88600,-50564.92,-10.1178%,4,信号
600814,杭州解百,2022-02-18,6.647,2022-02-23,6.611,75200,-3253.0,-0.6504%,3,信号
