序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
2002,603063,禾望电气,2024-08-22,11.926,2024-08-28,11.344,-4.9721%,-4.8770%,4,止损
2003,603065,宿迁联盛,2023-10-25,12.732,2023-10-31,13.709,7.5640%,7.6716%,4,止盈
2004,603067,振华股份,2021-12-23,7.82,2021-12-27,7.182,-8.2441%,-8.1523%,2,止损
2005,603067,振华股份,2023-03-14,9.621,2023-03-29,9.046,-6.0637%,-5.9697%,11,止损
2006,603067,振华股份,2023-04-07,8.56,2023-04-24,8.123,-5.2038%,-5.1090%,11,到期
2007,603070,万控智造,2023-10-25,15.948,2023-11-09,16.452,3.0559%,3.1590%,11,到期
2008,603076,乐惠国际,2024-06-11,22.411,2024-06-25,20.9,-6.8383%,-6.7451%,10,止损
2009,603082,北自科技,2025-11-21,36.038,2025-12-08,36.172,0.2712%,0.3715%,11,到期
2010,603085,天成自控,2025-04-03,10.915,2025-04-08,9.495,-13.0979%,-13.0110%,2,止损
2011,603086,先达股份,2025-09-25,8.824,2025-10-14,9.615,8.8523%,8.9613%,7,止盈
2012,603087,甘李药业,2022-08-29,33.813,2022-09-14,33.239,-1.7945%,-1.6962%,11,到期
2013,603087,甘李药业,2023-04-28,33.983,2023-05-18,33.219,-2.3447%,-2.2470%,11,到期
2014,603089,正裕工业,2021-11-01,7.324,2021-11-10,7.896,7.7078%,7.8156%,7,止盈
2015,603089,正裕工业,2024-06-07,8.454,2024-06-25,7.986,-5.6327%,-5.5383%,11,止损
2016,603090,宏盛股份,2023-03-22,24.822,2023-04-03,22.839,-8.0841%,-7.9921%,8,止损
